Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie,O/U,Over,Under,Away ML,Home ML,Home PL Spread,PL Away,PL Home
2024-11-05,,7:00 PM,Calgary Flames,3,Montreal Canadiens,2,Regulation,,,6.5,-105,-113,,,,,
2024-11-05,,7:30 PM,Pittsburgh Penguins,3,New York Islanders,4,Regulation,,,6,-116,-103,,,,,
2024-11-05,,10:30 PM,Columbus Blue Jackets,1,San Jose Sharks,2,Regulation,,,6.5,-107,-112,,,,,
2024-11-05,,8:00 PM,Tampa Bay Lightning,2,St. Louis Blues,3,Regulation,,,6,-110,-109,,,,,
2024-11-05,,7:00 PM,Boston Bruins,0,Toronto Maple Leafs,4,Regulation,,,5.5,-110,-108,,,,,
2024-11-05,,8:00 PM,Utah Hockey Club,0,Winnipeg Jets,3,Regulation,,,6,-115,-102,,,,,
2024-11-06,,8:00 PM,Detroit Red Wings,4,Chicago Blackhawks,1,Regulation,,,6.5,-103,-115,,,,,
2024-11-06,,8:30 PM,Vegas Golden Knights,4,Edmonton Oilers,2,Regulation,,,6.5,-115,-102,,,,,
2024-11-06,,7:00 PM,Nashville Predators,2,Washington Capitals,3,Regulation,,,6,-118,-100,,,,,
2024-11-07,,7:00 PM,Calgary Flames,3,Boston Bruins,4,Regulation,,,6,-110,-110,,,,,
2024-11-07,,7:00 PM,Pittsburgh Penguins,1,Carolina Hurricanes,5,Regulation,,,6.5,-116,-102,,,,,
2024-11-07,,8:00 PM,Chicago Blackhawks,1,Dallas Stars,3,Regulation,,,6,-122,104,,,,,
2024-11-07,,7:00 PM,Nashville Predators,2,Florida Panthers,6,Regulation,,,6,-110,-110,,,,,
2024-11-07,,10:30 PM,Vancouver Canucks,4,Los Angeles Kings,2,Regulation,,,5.5,-117,-101,,,,,
2024-11-07,,7:00 PM,Montreal Canadiens,3,New Jersey Devils,5,Regulation,,,6.5,-110,-110,,,,,
2024-11-07,,7:00 PM,Buffalo Sabres,6,New York Rangers,1,Regulation,,,6.5,-115,-105,,,,,
2024-11-07,,7:00 PM,New York Islanders,4,Ottawa Senators,2,Regulation,,,6,-110,-103,,,,,
2024-11-07,,10:30 PM,Minnesota Wild,5,San Jose Sharks,2,Regulation,,,6,-106,-113,,,,,
2024-11-07,,8:00 PM,Utah Hockey Club,4,St. Louis Blues,2,Regulation,,,6,107,-125,,,,,
2024-11-07,,7:30 PM,Philadelphia Flyers,2,Tampa Bay Lightning,1,Regulation,,,6.5,-104,-116,,,,,
2024-11-07,,8:00 PM,Colorado Avalanche,0,Winnipeg Jets,1,Regulation,,,6.5,-115,-105,,,,,
2024-11-08,,10:00 PM,Minnesota Wild,5,Anaheim Ducks,2,Regulation,,,5.5,-118,-100,,,,,
2024-11-08,,10:00 PM,Vegas Golden Knights,3,Seattle Kraken,4,Regulation,,,6,104,-123,,,,,
2024-11-08,,7:00 PM,Detroit Red Wings,1,Toronto Maple Leafs,3,Regulation,,,6,-100,-120,,,,,
2024-11-08,,7:30 PM,Pittsburgh Penguins,4,Washington Capitals,2,Regulation,,,6.5,-120,-100,,,,,
2024-11-09,,7:00 PM,Ottawa Senators,3,Boston Bruins,2,Regulation,,,5.5,-119,101,,,,,
2024-11-09,,1:00 PM,Calgary Flames,2,Buffalo Sabres,3,Regulation,,,6,-124,106,,,,,
2024-11-09,,9:00 PM,Carolina Hurricanes,4,Colorado Avalanche,6,Regulation,,,6.5,-119,100,,,,,
2024-11-09,,7:00 PM,New York Rangers,4,Detroit Red Wings,0,Regulation,,,6.5,-136,117,,,,,
2024-11-09,,6:00 PM,Philadelphia Flyers,3,Florida Panthers,4,Regulation,,,6,-120,102,,,,,
2024-11-09,,9:00 PM,Columbus Blue Jackets,2,Los Angeles Kings,5,Regulation,,,6,-125,107,,,,,
2024-11-09,,8:00 PM,Utah Hockey Club,0,Nashville Predators,4,Regulation,,,6,-115,-100,,,,,
2024-11-09,,7:30 PM,New Jersey Devils,4,New York Islanders,3,Regulation,,,6,-117,-105,,,,,
